,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
39,【完結済み】ぴんとこな　1巻,28242,16,  嶋木あこ  ,,  小学館  ,Cheese!, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/Cheese!,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX527060.jpg?20181206184525,https://www.ebookjapan.jp/ebj/28242/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49071560,3,無料,2018/12/20
40,シリーズ書籍一覧 12冊を配信中 ,251276,12,  マキノ  ,,  講談社  ,別冊フレンド, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/M3100037782561.jpg?20181006213158,https://www.ebookjapan.jp/ebj/251276/,,0,有料,
41,シリーズ書籍一覧 12冊を配信中 ,142134,12,  日渡早紀  ,,  白泉社  ,花とゆめコミックス, 少女マンガ 長編マンガ/少女コミック/少女コミック SF/少女コミック ファンタジー/少女コミック ラブストーリー/花とゆめコミックス/花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HA024760.jpg?20180719213018,https://www.ebookjapan.jp/ebj/142134/,,0,有料,
42,シリーズ書籍一覧 6冊を配信中 ,235368,6,  宝井理人  ,,  新書館  ,Dear+, ボーイズラブコミック 少女コミック/少女コミック ラブストーリー/少女コミック ボーイズラブコミック/Dear+/R./★BL手帖～WE LOVE BL2014～掲載作品★/【BL】病み,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHI98760.jpg?20180923233113,https://www.ebookjapan.jp/ebj/235368/,,0,有料,
43,シリーズ書籍一覧 12冊を配信中 ,17643,12,  柚月純  ,,  講談社  ,別冊フレンド, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブコメ/少女コミック コメディ/少女コミック 学園/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD509360.jpg?20181115172135,https://www.ebookjapan.jp/ebj/17643/,,0,有料,
44,【完結済み】電撃デイジー　1巻,21213,16,  最富キョウスケ  ,,  小学館  ,ベツコミ, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/少女コミック 探偵・刑事/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX268260.jpg?20181213182555,https://www.ebookjapan.jp/ebj/21213/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49053164,4,無料,2018/12/27
45,シリーズ書籍一覧 20冊を配信中 ,231209,20,  椎名橙  ,,  白泉社  ,花とゆめ, 少女マンガ 少女コミック/少女コミック ファンタジー/少女コミック ラブストーリー/花とゆめコミックス/花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A2100044370061.jpg?20181018143228,https://www.ebookjapan.jp/ebj/231209/,,0,有料,
46,シリーズ書籍一覧 17冊を配信中 ,15841,17,  ジョージ朝倉  ,,  講談社  ,別冊フレンド, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 個性派/少女コミック 学園/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD468760.jpg?20181006213126,https://www.ebookjapan.jp/ebj/15841/,,0,有料,
47,シリーズ書籍一覧 12冊を配信中 ,165766,12,  ねこ田米蔵  ,,  ビーボーイ編集部  ,ビーボーイコミックス, ボーイズラブコミック 少女コミック/少女コミック ラブストーリー/少女コミック ボーイズラブコミック/ビーボーイコミックス/R./★新生活BL手帖掲載作品★/ビーボーイ編集部/【BL】学園,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W3100023184861.jpg?20180906122502,https://www.ebookjapan.jp/ebj/165766/,,0,有料,
48,【完結済み】ひるなかの流星　1巻,141927,14,  やまもり三香  ,,  集英社  ,マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR204260.jpg?20171117193641,https://www.ebookjapan.jp/ebj/141927/,,2,有料,
49,【完結済み】明治緋色綺譚　1巻,27326,13,  リカチ  ,,  講談社  ,BE・LOVE, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 歴史/少女コミック 時代劇/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD760160.jpg?20181212163612,https://www.ebookjapan.jp/ebj/27326/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49068157,3,無料,2018/12/27
